Concept;Ancestral Branch ID;Ancestral Branch Name;Reconstructed Proto-Form;Confidence Score;Primary Proto-Node Attestations
dry;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔiqʼːʷar-;0.98;"Proto-Lezgian: *ʔiqʼːʷar-; Proto-Nakh: *=aqʼ-i(n); Proto-Yeniseian: *qɔy- [*qɔɢ-]; Proto-Taa: *ǁuˤ- #"
dry;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*nbɾə;0.98;Proto-Jabuti: *nbɾə #
ear;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʔ-ḏ-n;0.98;"Праафразийский праязык / Proto-Afroasiatic: *ʔ-ḏ-n; Прасемитский / Proto-Semitic: *ʔuḏn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: msḏr; Proto-Kalahari Khoe: *ǂe"
ear;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ḳowV;0.98;"Ностратический праязык / Proto-Nostratic: *ḳo[w]V; Сино-кавказский праязык / Proto-Sino-Caucasian: *leHwV; Прасино-тибетский / Proto-Sino-Tibetan: *r-na; Праиндоевропейский / Proto-Indo-European: *h₂ṓws"
ear;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*wɨ;0.98;"Proto-Cahuapanan: *wɨ; Proto-Jabuti: *nĩ=pɨ"
eat;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʔkl;0.98;"Прасемитский / Proto-Semitic: *ʔkl; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: wnm; Proto-Kalahari Khoe: *ǂʼũ; Proto-Khoekhoe: *ǂʼũ"
eat;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*h₁et-;0.98;"Праиндоевропейский / Proto-Indo-European: *h₁ed-; Прауральский / Proto-Uralic: *sewi-; Proto-Lezgian: *ʔikʷVn-; Proto-Nakh: *=aqʼ- ~ *=aʔ-"
eat;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kaʔ- / kap-;0.98;"Proto-Cahuapanan: *kaʔ- / *kap-; Proto-Jabuti: *ko; *po"
eye;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʕ-y-n;0.98;"Праафразийский праязык / Proto-Afroasiatic: *ʕ-y-n; Прасемитский / Proto-Semitic: *ʕayn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jrt; Proto-Kalahari Khoe: *ǂxai"
eye;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*hVkV;0.98;"Борейский праязык / Proto-Borean: *hVkV; Ностратический праязык / Proto-Nostratic: *ʔakʷV; Сино-кавказский праязык / Proto-Sino-Caucasian: *HwilV; Прасино-тибетский / Proto-Sino-Tibetan: *m-yak"
eye;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*laya;0.98;"Proto-Cahuapanan: *laya; Proto-Jabuti: *c̢ɐ-ka"
far;branch_african;Proto-Sapiens Africanus (Праафриканский);*u;0.98;"Proto-Kalahari Khoe: *u; Proto-Khoekhoe: *u; Proto North Khoisan: *ǂx; Proto-!Wi: *ǁoe ~ *ǁõẽ #"
far;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔarːV;0.98;"Proto-Lezgian: *ʔarːV; Proto-Nakh: *gaːni #; Proto-Yeniseian: *biːr1; Proto-Taa: *taiˤ"
far;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*ririʔi;0.81;Are'are (Ma'asupa): ririʔi
father;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʔab-;0.98;"Праафразийский праязык / Proto-Afroasiatic: *ʔab-; Прасемитский / Proto-Semitic: *ʔabw-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jt; Proto-Kalahari Khoe: *ui"
father;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*pAʔV;0.98;"Борейский праязык / Proto-Borean: *pAʔV; Ностратический праязык / Proto-Nostratic: *ʔapV; Сино-кавказский праязык / Proto-Sino-Caucasian: *tātV / *ʔaba; Прасино-тибетский / Proto-Sino-Tibetan: *pa / *ba"
father;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*ɪa-yɨʔ;0.93;"Proto-Cahuapanan: *ɪa-yɨʔ #; Proto-Jabuti: *toŋ"
feather;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǂʼũ;0.98;"Proto-Kalahari Khoe: *ǂʼũ; Proto-Khoekhoe: *!ʼam-; Proto North Khoisan: *!kxúí; Proto-!Wi: *ʔã"
feather;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*kʷik ~ kʷimk;0.98;"Proto-Lezgian: *kʷik ~ *kʷimk; Proto-Nakh: *peːla-kʼ #; Proto-Yeniseian: *ʔaːsi; Proto-Taa: *ʔ"
feather;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*ampuʔɾuʔ;0.98;"Proto-Cahuapanan: *ampu(ʔ)ɾuʔ; Proto-Jabuti: *c̢i ~ *ʔi"
fire;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʔ-s-t / w-h-y;0.98;"Праафразийский праязык / Proto-Afroasiatic: *ʔ-s-t / *w-h-y; Прасемитский / Proto-Semitic: *ʔišāt-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḫt; Proto-Kalahari Khoe: *ǀʼe"
fire;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔotV;0.98;"Борейский праязык / Proto-Borean: *ʔotV; Ностратический праязык / Proto-Nostratic: *ʔotV; Сино-кавказский праязык / Proto-Sino-Caucasian: *c̣ʔāy / *tōk; Прасино-тибетский / Proto-Sino-Tibetan: *mey"
fire;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*pɨn;0.98;"Proto-Cahuapanan: *pɨn; Proto-Jabuti: *pi=čə"
fish;branch_african;Proto-Sapiens Africanus (Праафриканский);*samak- / nūn-;0.98;"Прасемитский / Proto-Semitic: *samak- / *nūn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rm; Proto-Kalahari Khoe: *ǁʼau; Proto-Khoekhoe: *ǁʼau-"
